,size_y,beta_y,momentum_y,volatility_y,nlsize_y,value_y,liquidity_y,earnings_yield_y,growth_y,leverage_y,zx_petro_y,zx_coal_y,zx_metals_y,zx_power_y,zx_steel_y,zx_chemicals_y,zx_construct_eng_y,zx_construct_mat_y,zx_light_man_y,zx_machinery_y,zx_electr_equip_y,zx_defense_y,zx_automobiles_y,zx_retail_y,zx_hotels_lei_y,zx_household_dur_y,zx_textile_y,zx_medical_y,zx_food_bev_y,zx_agriculture_y,zx_banks_y,zx_real_estate_y,zx_transportation_y,zx_electronic_comp_y,zx_communication_y,zx_computers_y,zx_media_y,zx_compre_y,zx_securites_y,zx_insurance_y,zx_diversified_fin_y
860001.OF,0.03368223673677706,0.4420338146317864,-0.009952284999578787,-0.1512734894167064,-0.07270089475985386,-0.2487059874499967,-0.147625843361351,-0.05666253201175697,-0.01123947712342743,-0.04543545407648475,-0.02236357478620932,0.0,-0.009677150747291474,0.0,0.0,0.2173856897151638,0.0,0.0,-0.03508387306937977,0.006318549867595502,0.04767065854040187,0.0,0.0,0.0,-0.08389742006026946,0.01440811817120813,0.0,0.03002265970814189,-0.01991559533963339,0.0,0.0,0.0,0.0,0.063066828522093,0.0,0.0862109387149761,0.0,0.0,0.0,-0.03633887587285201,0.0
008245.OF,0.03276203145840206,0.5680592037855929,0.1042916938141611,-0.1929549664836193,-0.1185772087437609,-0.1667757682705565,-0.3322327816712866,-0.145969756719554,-0.02624391335745113,-0.07332985006985604,0.00250256380157543,0.0,0.04751775520411683,-0.01510310900987277,0.1130209789772272,0.1006702256519811,-0.01332961958209289,0.02292658589160812,-0.02957936410110273,0.0819327269087573,0.05419508454318511,0.04704212531409468,0.02769368506556291,0.0,0.0,-0.001862218995929754,0.0,0.01317062633658583,0.0,0.01070912546891667,0.0,-0.04520319595510336,0.0,-0.02277923640907409,0.05247336466551644,0.05722620093767761,0.0,0.0,0.02489455209876734,-0.07865062111275334,0.0
762001.OF,-0.4424925694040408,0.6220622024907176,0.1299967189619899,-0.1444187327070255,0.2061319844059522,-0.2702831873163519,-0.280681741845547,-0.1062214006290025,0.004370883241321843,-0.05849935004458717,-0.004638917433269607,0.0,0.003555976008506878,0.0,0.0,0.05670476810847447,0.0,-0.01970845871843308,0.0,-0.006951254829746123,0.4322554740988711,0.0,-0.004745952300587164,0.0,0.04364759904915316,-0.00215444442853796,0.0,-0.05507313722271778,0.05244242492902051,-0.007766664903241294,-0.04245986308977079,0.0,0.002138078296141543,-0.06544350639193786,0.01133752466014193,-0.04474040418249614,0.0,0.0,0.0,0.0,0.0
013220.OF,0.03938148777186723,0.2599291614163217,-0.1102825483725545,-0.1173627817942434,-0.1227155717651889,-0.09774119101761092,-0.1267838145367642,-0.03168963354636312,0.006426017303099218,-0.02787675114501864,0.0,0.0,-0.005003158556214471,0.0,0.0,-0.0337739721723761,0.01561650863260433,0.0,0.0,0.0,0.001106465725225325,0.0236458412600602,-0.001128497962626041,0.0,0.0,0.0,0.0,0.01354774218978139,0.0,0.0,0.0,0.0,0.0,-0.05073611076065254,-0.0141283422397992,0.0,-0.006796723728228038,0.0,0.0,0.0,0.0
005549.OF,-0.3548242110834972,0.41989905387832,0.1112250597663549,-0.0630195673395787,0.2104834429649869,-0.3096694793401384,-0.04971999086039147,-0.04204015266510974,-0.006261307070587252,-0.1225588099703435,0.01137987280934483,0.05610816341070013,0.0,0.0,0.0,-0.02735466907628992,0.0,-0.0129835793452312,0.0,0.0,0.1462535894827481,0.02963173473192371,0.0,0.0,-0.03936832682377533,0.003205268271401884,0.0,-0.006611443367906644,0.08309429935922186,0.0,-0.001482622854069526,-0.04166202417491305,0.0,0.0,0.0,4.15060175507076e-05,-0.02570512998219843,0.0,0.005434056369117091,-0.1829686791840588,0.0
005457.OF,1.227780895036669,-0.0133564185508237,0.02619634323317444,0.06000057395010927,-0.3330777198488225,0.04658953445243652,-0.3872841917174091,-0.02350661709234403,-0.006930826260177048,-0.01888476319297283,-0.004880396742001358,-0.05002726119354195,-0.01955150605329936,0.03180379301665903,0.0,-0.00856062703017857,0.02183022588863404,0.02280563346175946,-0.01946921183243688,0.01635730056701035,0.1748610073879109,0.1021487878686043,-0.006845068512607244,-0.01125851852681514,0.0,0.0,0.01221517332264965,0.03653318194029009,0.002802868057253605,-0.01388262039955124,0.0,-0.09851652619599627,0.0,-0.03904274245457506,-0.05989532918386475,0.07722421432784587,-0.04841500486967554,0.0,-0.01886703009169699,0.0,0.0
010434.OF,0.6806997294066699,0.01883944264438853,0.3034919701666356,-0.4485982159973469,-0.1438509463849964,-0.2122143075708294,-0.3588962279619284,-0.04474041904177528,0.000478864980289595,-0.06854545318475558,0.0,0.0,0.0,0.0,0.0,0.04392531493403107,0.0,0.0,0.0,0.0,0.005349589213578643,-0.0006363723460844906,0.0,0.0,0.0,0.0,0.0,0.07909488047001623,0.007875701185439787,0.0,0.0,0.0,0.001098257262871938,0.03406009958156209,0.0,-0.005074510004397181,0.0,0.0,0.0,0.0,0.0
003956.OF,0.21075949065323,1.032139210345104,0.4816947694615679,-0.4676696377483361,-0.07952680277004553,-0.2250299021853638,-0.5121499404086165,-0.1009902501194664,0.03501478693401849,-0.1341089255637082,0.0,0.0,0.03298899545528222,0.0,0.0,0.01250178412327507,0.0,0.0,-0.008611613617865777,0.01383451603635399,0.6634848414408037,0.1335397956373918,-0.04889269534030938,0.0,-0.1363241282915436,0.002246623053745678,-0.02398227415958787,-0.01847864682662426,0.0,0.0,0.0,-0.0008656837598338685,0.001266702237096906,-0.10470625847482,-0.03917874162678225,0.02560968783584006,0.05705509854438384,0.0,0.0,0.0,0.0
162208.OF,-0.1996778771513182,0.9742649673014763,0.06534445423123025,-0.3277051407640588,0.02440045489940879,-0.2777961353647792,-0.4522154922871258,-0.06831563840531996,-0.01943879680618665,-0.1042576165071141,-0.008368749258891861,0.0,0.1176876571672589,0.0,0.03480378657288141,0.02511400214583448,0.0,-0.02073648009639129,0.0,0.03162817990622457,0.3449394676300024,0.0151793323633973,0.0,0.0,0.0,0.0,0.0,0.003735340234055196,0.04293695453184498,-0.03400541081611219,0.0,0.0,0.03410509959766461,0.06146819860128505,0.04520359369730076,-0.06480197505316176,0.0003924210395389593,0.0,0.009762718881351162,0.0,0.0
002543.OF,-0.369055685544955,0.2282771209642844,0.2704964410864112,-0.2415324598680393,0.1123379086376866,-0.1892718888050485,-0.2724339126477235,-0.1700867678803004,-0.02522639034668839,-0.06057931280832241,0.0,-0.001265219493641001,-0.001555469134345899,-0.001738508959630014,-0.009305692014088818,-0.03689774955990766,-0.008466293242085032,0.01057053791078677,-0.01626531057163816,0.01924800595911824,0.3859960436043912,0.03724221305181796,0.02770160859369808,0.0,-0.03545563322355449,-0.02785239876639589,0.0,-0.02813300171402622,0.04273752122107366,-0.009071343513418761,-0.01823613949810199,-0.1002729144019354,0.0,-0.04737679621570967,-0.03539641939333571,-0.06938449631672605,-0.0230132754125536,-0.006402916771232059,0.0,0.0,0.0
005901.OF,-0.2226214031999806,0.1940055306582193,-0.002506160646591149,0.1181507761090588,0.06096195560985507,-0.1231694947461429,-0.09452494995423488,-0.03864210145178282,-0.008111477818454449,-0.02839255903058024,0.03163413503122969,0.0,0.04808866978863513,0.0,0.0,0.09320880702910261,0.01007229418161293,0.0,0.0,-0.008272391714739591,0.07023886309443772,0.0,-0.003602748406829837,-0.01362466950972718,0.01324874087931049,0.01463815823066983,0.0,0.1061430285817266,0.2968291487080406,-0.02760368290991011,-0.2056940525674942,0.02223262882190702,0.04775482062729108,0.02756986378917881,0.0,-0.03457548101806185,-0.0667698439216402,0.0,-0.09779977350080193,0.005227994441057815,0.0
010597.OF,-0.3872777926648793,0.01425227398177742,-0.173669859611823,0.006578397419885196,0.1260264381823935,-0.0256952938356052,-0.1879225289871457,0.04245512003147067,0.0003748493654012197,-0.07782666529440563,0.0,0.0,0.0,0.0,0.0,-0.008884347650266022,0.00681142647583588,0.0,0.0,0.01181517315495362,0.0687909155208648,0.0,-0.002612046619557162,0.0,-0.0402379595953567,-0.02673876164084188,0.0,0.02137617087382138,-0.02275507083395034,0.02018799729327614,-0.06284925000119368,-0.03178431652038238,0.0,0.06233702511689931,-0.0819886964988853,0.0006977073950540369,0.05525346208729776,0.0,0.0,-0.03384112519513305,0.0
004895.OF,-0.1132994015163044,1.113730826460009,0.1766578036099233,-0.3420070539837154,-0.003365457180948939,-0.2457388420372262,-0.3801317064054356,-0.09578846538190267,-0.009122593655017663,-0.1156879317845493,0.0,0.0,-0.04647264643036664,0.0,0.0,0.01103763561519266,0.0,-0.0154292182249689,0.0,0.01083412711530207,0.4657804949114961,-0.05768138667059974,-0.01161494448384048,-0.01798180374295277,-0.1027692878124089,-0.00359177193667215,0.0,-0.00631370391049868,0.05778114634321962,0.0,0.0,0.03618088930766361,0.0,-0.01858173660134688,0.001202950062919594,0.2565159169684283,0.0,0.0,-0.02917550398470226,0.0,0.0
000513.OF,-0.03582745958632627,0.5091537126691301,0.1839663636368629,-0.2410078905212715,-0.09919043520175153,-0.2597252787101887,-0.1966801051037771,-0.1097087561604434,-0.01133954714620544,-0.1418352511887601,0.0,0.0,0.0,0.0,0.0,-0.07097007377825248,0.0,-0.02440848883799573,0.0,0.09154164372402818,0.06576949445940494,-0.0005477321717833883,0.001424702878700002,-0.0116884033893595,0.0378405424683268,0.0,0.0,0.0314687292361775,0.05489479489234395,0.0,-0.04200764265126111,0.0,0.0,0.04687849257641519,0.0,-7.897999321293536e-05,-0.07094205668081432,0.0,0.0,-0.01775009737365818,0.0
014319.OF,0.0886409871721705,0.05328546308438842,0.1056662989271533,-0.3339631497397474,-0.05269963098602171,-0.07292758157678536,-0.3701308439412989,-0.04100506761826961,-0.003234085547045296,0.02073112907227781,0.0,0.0,0.0,0.0,0.0,-0.02809800829613796,0.0,0.0,0.0,-0.0004437827499186309,-0.007648867240559465,0.007281431932523175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1460043921679908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010137.OF,-0.3638841320246751,0.5829629349095569,-0.05056394356617033,-0.09336250865317564,0.1286407036071693,-0.2874657849092779,-0.2850517001255314,-0.03366991487710391,-0.02341297846652357,-0.03623929572927009,0.0,0.0,0.0,0.0,0.0,-0.03568264998415549,0.0,0.0,0.0,-0.003568999482005508,0.08387872490448034,-0.008013028803803057,0.0,0.0,0.0,0.0,0.0,-0.05178393933770475,0.0,-0.01097516238521024,0.0,0.0,0.0,0.1898292408116522,0.0,0.003520026523015085,0.0,0.0,-0.01782694903405724,0.0,0.0
